domain,step
Manual folding of fitted sheets,Fold in half or thirds
Pasta Making,Boiling pasta
Handmade Soap Wrapping,Researching packaging trends and eco-friendly options
Business Expense Management,Providing expense reports to stakeholders
Childcare,Managing nap schedules
Kintsugi (Ceramic Repair with Gold),Fill gaps with gold-lacquer mixture
Salsa Making,"Washing and preparing vegetables (e.g., onions, peppers, cilantro)"
Pottery Glazing,Brushing glaze onto pottery
Making Bespoke Wooden Chess Sets,Carve or turn pieces
Building a Handcrafted Wooden Chess Set,Carve or turn pieces
Creating Custom Blended Herbal Teas for Wellness,Package in tea bags or loose leaf
Creating Hand-Blended Tea Mixes with Dried Flowers and Herbs,Package in tea bags or loose leaf
Wrought Iron Crafting,Quench in water or oil
Leather Journal Making,Networking with other journal makers
Custom Fishing Net Making,Measure and cut lengths for net size
Fixing a Flat Tire, Check tire pressure 
Fermentation,Researching fermentation techniques
Creating Custom Flavored Lip Balms,Add flavors and essential oils
Concrete Work (Decorative),Stamp patterns into concrete
Wet Plate Photography,Coat plate with light-sensitive solution
Hand-painting of silk scarves,Allow dye to set and dry
Fixing a Flat Tire, Tighten lug nuts (star pattern) 
Cheese Making,Age cheese in controlled environment
Hand-crafting of artisanal cheeses,Age cheese in controlled environment
Homemade Cheese Making,Age cheese in controlled environment
Horseback Riding,37
Hand-painting of wooden signs,Seal with clear varnish or polyurethane
Bookbinding,Press book to ensure adherence
Photography Editing,Selecting photos for editing
Financial Planning,Monitoring investment performance
Crafting Custom Leather Book Covers with Celtic Knot Designs,Cut leather
Shoe Making (Handmade),Cut leather
Crafting Personalized Leather Key Holders,Cut leather
Crafting Leather Wallets with Burned Designs,Cut leather
Building Handcrafted Leather Tool Rolls,Cut leather
Creating Hand-Sewn Leather Clutches with Embossed Patterns,Cut leather
Crafting Artisan Leather Book Covers with Celtic Knot Designs,Cut leather
Making Custom-Fit Leather Phone Cases,Cut leather
Shoemaking,Cut leather
Bead Weaving,Selling bead woven jewelry online or at craft fairs
Rubber Stamp Making,Creating stamping tutorials
Barbering/Hairdressing,Cutting hair
Hairdressing,Cutting hair
Crafting Handmade Wooden Sunglasses,Cut and shape frames
Crafting Handmade Soap Bars,Select oils and butters
Metal Jewelry Soldering,Cleaning metal surfaces to remove oils and contaminants
Papercrafting (Quilling),Selecting quilling paper strips in desired colors and sizes
Traditional Tin Can Lanterns,Punch holes following design using nail and hammer
Pasta Making,Mixing flour and eggs to form dough
Horseback Riding,33
Embroidery,Removing fabric from hoop and pressing if necessary
Ribbon Embroidery,Removing fabric from hoop and pressing if necessary
Bread Baking,Bake
Making Sourdough Bread,Bake
Crafting Custom Polymer Clay Jewelry,Bake
Baking (Various),Bake
French Pastry,Bake
Making Hand-Pulled Noodles,Stretch and fold noodles
Manual training of bonsai trees,Monitor growth and adjust training as necessary
Supply Chain Management,Optimizing surplus inventory sales
Laundry Services,Inspecting clothes for damage
Marbling,Lifting paper to reveal marbled pattern
Creating Hand-Sewn Fabric Totes,Attach handles
Crafting Personalized Slate Serving Trays,Attach handles
Building a Handmade Picnic Basket with Interchangeable Liners,Attach handles
Traditional Lantern Making,Design lantern structure
Shiatsu Massage,Apply pressure along meridians
E-commerce Order Fulfillment,Restocking returned items
Warehouse Operations,Restocking returned items
Supply Chain Management,Restocking returned items
Inventory Management in Retail,Restocking returned items
Supply Chain Management,Forecasting inventory needs
Kombucha Brewing,Flavoring bottled kombucha with fruit juice or herbs (optional)
Warehouse Operations,Creating bills of lading
Manual Data Entry,Retrieving archived data
Performance Art,Choreograph movements/actions
Bank Teller Transactions,Opening new accounts
Soap Making (Cold Process),"Selecting oils, butters, and lye for soap recipe"
Hand-knitting of scarves,Cast on desired number of stitches
Making Hand-Pulled Noodles,Knead until elastic
Legal Case Management,Setting up case files
Hand-Painted Signs,Outline letters and designs
Herbal Medicine Preparation,Simmer or steep herbs
Manual assembling of terrariums,Water lightly and place in desired location
Wicker Furniture Making,Inspect for sturdiness and comfort
Cobbling (Shoe Repair),Inspect for quality of repair and finish
Hand Painting Miniatures,Apply details with fine brushes
Traditional Puppet Making,Inspect for character likeness and durability
Birdhouse Building,Adding entrance hole and perch (if applicable)
Artisanal Bread Shaping,Divide and pre-shape dough
Travel Planning,Reserving bus tickets
Manual arranging of flowers,Trim stems at angle
Manual roasting of vegetables,Spread vegetables in single layer on baking sheet
Manual roasting of vegetables,Spread vegetables in single layer on baking sheet
Calligraphy,Copying calligraphy exemplars for practice
Barbering/Hairdressing,Sweeping hair
Manufacturing Assembly,Coordinating with suppliers
Building a Vertical Pallet Herb Garden,Collect pallet
Making Handcrafted Cheese Presses,Cut and assemble components
Bead Weaving,Creating beadwork in flat or tubular forms
Event Planning,Scheduling entertainment
Creating Artisan Greeting Cards with Pressed Flowers,Select and press flowers
Farming (Small-Scale), Fertilize 
Making Fishing Nets by Hand,Attach floats and weights
Making Hand-Tied Fishing Nets,Attach floats and weights
Hand-sewing of quilts,Hand-quilt or tie layers together
Stone Carving,Rough out shape with point chisel
Traditional Boat Building (Wooden),Caulk and seal
Playing a Puzzle, Gradually build the entire image
Creating Hand-Tufted Decorative Pillows,Fill and sew shut
Home Repair,Replacing light fixtures
Making Bespoke Leather Plant Hangers,Braid or knot
Batik (Fabric Dyeing),Boil to remove wax
Handcrafted Wooden Clocks,Carve or inlay decorative elements
Manual reupholstering of furniture,Repair frame if necessary
Hand washing delicate fabrics,Air dry
Calligraphy Writing,Adding flourishes or decorative elements (optional)
Handmaking Artisan Bread Knives,Design knife
Medical Billing and Coding,Providing coding education
Legal Document Review,Reviewing financial records
Crafting Bespoke Outdoor Wind Spinners from Recycled Materials,Hang
Hand-rolling of tamales,Prepare masa dough
IT Support,Diagnosing hardware problems
Technical Support,Diagnosing hardware problems
Origami, Make creases 
Calligraphy,Erasing pencil guidelines (if used)
Education Planning,Organizing classroom activities
Building Stone Benches,Select large flat stones for seating
Herbal Salve Making,Melting beeswax
Candle Making (Beeswax),Melting beeswax
"Playing a String Instrument (Violin, Guitar, etc.)",Learn finger placement for notes 
Skincare Routine,Use sunscreen
Education Planning,Reflecting on teaching practices
Doll Making,Designing dolls
Handmade Chocolate Making,Cool to set
Herbal Balm Making,Cool to set
Handcrafted Skincare Products,Cool to set
Artisanal Chocolate Truffles,Cool to set
Fruit & Vegetable Carving, Remove unwanted parts 
Construction,Performing safety checks
Package Delivery,Performing safety checks
Camping Hike (advanced), Use a map and compass for navigation 
Data Analysis,Identifying patterns
Fly Tying,Secure hook
Charcuterie,Select meats
Wooden Kayak Building,Varnish or paint for protection
Rubber Stamp Making,Experimenting with different carving materials
Content Creation,Editing drafts
Basketry (Coiled),Sew coils together
Calligraphy,Create composition
Cigar Rolling,Networking with other cigar rollers
Seed Saving,Cleaning seeds to remove debris and chaff
Marbling Art,Preparing marbling tray or basin with size solution
Wire Sculpture,Networking with other wire sculptors
Fishing,Navigating fishing spots
E-commerce Order Fulfillment,Verifying item accuracy
Quilting,Arranging blocks into layout
Making Handcrafted Terracotta Pots,Optionally glaze and fire again
Making Bespoke Clay Garden Stakes,Optionally glaze and fire again
Crafting Bespoke Clay Incense Holders,Optionally glaze and fire again
Making Bespoke Clay Oil Diffusers with Natural Patterns,Optionally glaze and fire again
Making Custom Fit Earthenware Flower Pots,Optionally glaze and fire again
Making Hand-Forged Iron Trivets with Decorative Scrollwork,Heat iron
Creating Hand-Forged Ironwork Art,Heat iron
Hand-making of jewelry beads,Pierce bead with needle or skewer to create hole
Wooden Puzzle Making,Select wood thickness
Hand-painted Ceramic Tiles,Prepare clay tiles
Pasta Making,Sharing pasta recipes
Welding,Weld seams
Drawing,Refine
Fitness Training,Incorporating home workout routines
Stoneware Pottery,Throw on wheel or hand-build form
Food Preservation (Fermentation),Select vegetables or fruits 
Manual planting of vegetable gardens,Monitor for pests and diseases
Vehicle Maintenance,Inspecting belts
Basic Electronics Project,Solder electronic components onto a circuit board 
Locksmithing,Customer invoicing
Taxidermy,Skin & flesh animal
Fire Performance,Select props & fuel
Manual Data Entry,Sending notifications
Handcrafted Musical Boxes,Design mechanism and case
Traditional Sailmaking,Measure and cut sailcloth
Bank Teller Transactions,Endorsing checks
Historic Ship Model Building,Research ship designs and plans
Building Custom Treehouses,Construct walls and roof
Whittling,Inspect for desired shape and detail
Playing a Musical Instrument,---
Horseback Riding,---
Healthcare Appointment Scheduling,Accommodating patient accessibility needs
Native Plant Gardening,Inspect for health and biodiversity support
Candlestick Making,Storing candlestick-making supplies
Making Traditional Leather Books,Cover with leather
Dry Stone Wall Building,Construct walls without mortar
Fermentation,"Selecting fermentable ingredients (e.g., vegetables, fruits, grains)"
Basket Weaving,Soak materials
Customer Service Call Handling,Clarifying concerns
Making Bespoke Wooden Serving Trays with Epoxy Resin Art,Remove barriers
Music (Period Instruments),Learn period repertoire
Origami (complex), Follow complex origami diagrams 
Building a Fold-Out Convertible Desk from a Wall Cabinet,Mount to wall
Crafting Custom Floating Nightstands for Small Spaces,Mount to wall
Building a Hand-Crafted Tree Bookcase,Mount to wall
Business Expense Management,Auditing expense reports
Beading,"Using bead weaving techniques (e.g., peyote stitch, brick stitch)"
Mask Making (Advanced),Incorporate movement or special effects
Natural Wool Dyeing,Select wool and wash
Handcrafted Leather Shoes,Choose leather and pattern
Hand-sewing of buttons onto garments,Secure thread with knot and trim excess
Candle Carving,Experimenting with different wax types
Leather Tooling,Moistening leather with water or casing solution
Building Rustic Wooden Benches,Select logs or lumber
Jewelry Making, Shape metal 
Creating Hand-Stamped Personalized Stationery,Apply ink to stamp
Hand stamping fabric patterns,Apply ink to stamp
Manual blending of teas,Select tea leaves and other ingredients
Metalworking (Forging),Networking with other metalworkers or blacksmiths
Building a Custom Outdoor Firewood Storage Rack,Cut and weld metal or cut wood
Saddle Making,Condition completed saddle
Retail Merchandising,Planning product assortments
Woodcarving,Signing work
Seed Saving,Educating others about seed saving
Crafting Decorative Gourd Art,Select gourd
Furniture Restoration, Refinish 
Soapstone Carving,Polishing soapstone with wax or oil
Crafting Custom Floating Nightstands for Small Spaces,Assemble box
Healthcare Appointment Scheduling,Handling provider time off requests
Making Hand-Stamped Leather Accessories,Moisten leather
Orchard Management,Plant & care for fruit trees
Making Hand-Crocheted Market Bags,Crochet using a mesh pattern
Custom Leather Satchels,"Attach hardware (buckles, clasps)"
Traditional Puppet Making,Practice puppeteering for fluid movement
Hair Cutting,Section hair 
Handmade Candy Making,Flavor and color
Metal Detecting,Research location 
Package Delivery,Handing over packages
